"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=7/1792, ttl=64 (reply in 2)"
"2","0.000087","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=7/1792, ttl=64 (request in 1)"
"3","1.024024","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=8/2048, ttl=64 (reply in 4)"
"4","1.024123","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=8/2048, ttl=64 (request in 3)"
"5","2.048119","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=9/2304, ttl=64 (reply in 6)"
"6","2.048271","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=9/2304, ttl=64 (request in 5)"
"7","3.072105","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=10/2560, ttl=64 (reply in 8)"
"8","3.072201","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=10/2560, ttl=64 (request in 7)"
"9","4.096076","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=11/2816, ttl=64 (reply in 10)"
"10","4.096219","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=11/2816, ttl=64 (request in 9)"
"11","5.120198","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=12/3072, ttl=64 (reply in 12)"
"12","5.120332","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=12/3072, ttl=64 (request in 11)"
"13","6.144101","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=13/3328, ttl=64 (reply in 14)"
"14","6.144265","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=13/3328, ttl=64 (request in 13)"
"15","7.168058","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=14/3584, ttl=64 (reply in 16)"
"16","7.168224","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=14/3584, ttl=64 (request in 15)"
"17","8.191958","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=15/3840, ttl=64 (reply in 18)"
"18","8.192025","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=15/3840, ttl=64 (request in 17)"
"19","9.216192","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=16/4096, ttl=64 (reply in 20)"
"20","9.216291","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=16/4096, ttl=64 (request in 19)"
"21","10.240180","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=17/4352, ttl=64 (reply in 22)"
"22","10.240333","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=17/4352, ttl=64 (request in 21)"
"23","11.264022","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=18/4608, ttl=64 (reply in 24)"
"24","11.264178","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=18/4608, ttl=64 (request in 23)"
"25","12.288013","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=19/4864, ttl=64 (reply in 26)"
"26","12.288136","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=19/4864, ttl=64 (request in 25)"
"27","13.312276","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=20/5120, ttl=64 (reply in 28)"
"28","13.312410","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=20/5120, ttl=64 (request in 27)"
"29","14.336210","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=21/5376, ttl=64 (reply in 30)"
"30","14.336336","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=21/5376, ttl=64 (request in 29)"
"31","15.360194","10.0.0.1","10.0.0.3","ICMP","98","Echo (ping) request  id=0x9f16, seq=22/5632, ttl=64 (reply in 32)"
"32","15.360306","10.0.0.3","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x9f16, seq=22/5632, ttl=64 (request in 31)"
"33","20.479925","be:52:88:dc:67:1e","46:e2:6c:aa:ce:cc","ARP","42","Who has 10.0.0.3? Tell 10.0.0.1"
"34","20.481215","46:e2:6c:aa:ce:cc","be:52:88:dc:67:1e","ARP","42","10.0.0.3 is at 46:e2:6c:aa:ce:cc"
